fname,continuum_member,condition,itemnum,Group,Block
a_dg09_CV.ogg,9,NA,NA,2,without_precursor
a_dg10_CV.ogg,10,NA,NA,2,without_precursor
a_dg11_CV.ogg,11,NA,NA,2,without_precursor
a_dg12_CV.ogg,12,NA,NA,2,without_precursor
a_dg13_CV.ogg,13,NA,NA,2,without_precursor
a_dg14_CV.ogg,14,NA,NA,2,without_precursor
a_dg15_CV.ogg,15,NA,NA,2,without_precursor
a_dg16_CV.ogg,16,NA,NA,2,without_precursor
a_dg09_CV.ogg,9,NA,NA,2,without_precursor
a_dg10_CV.ogg,10,NA,NA,2,without_precursor
a_dg11_CV.ogg,11,NA,NA,2,without_precursor
a_dg12_CV.ogg,12,NA,NA,2,without_precursor
a_dg13_CV.ogg,13,NA,NA,2,without_precursor
a_dg14_CV.ogg,14,NA,NA,2,without_precursor
a_dg15_CV.ogg,15,NA,NA,2,without_precursor
a_dg16_CV.ogg,16,NA,NA,2,without_precursor
a_dg09_CV.ogg,9,NA,NA,2,without_precursor
a_dg10_CV.ogg,10,NA,NA,2,without_precursor
a_dg11_CV.ogg,11,NA,NA,2,without_precursor
a_dg12_CV.ogg,12,NA,NA,2,without_precursor
a_dg13_CV.ogg,13,NA,NA,2,without_precursor
a_dg14_CV.ogg,14,NA,NA,2,without_precursor
a_dg15_CV.ogg,15,NA,NA,2,without_precursor
a_dg16_CV.ogg,16,NA,NA,2,without_precursor
a_dg09_CV.ogg,9,NA,NA,2,without_precursor
a_dg10_CV.ogg,10,NA,NA,2,without_precursor
a_dg11_CV.ogg,11,NA,NA,2,without_precursor
a_dg12_CV.ogg,12,NA,NA,2,without_precursor
a_dg13_CV.ogg,13,NA,NA,2,without_precursor
a_dg14_CV.ogg,14,NA,NA,2,without_precursor
a_dg15_CV.ogg,15,NA,NA,2,without_precursor
a_dg16_CV.ogg,16,NA,NA,2,without_precursor
a_dg09_CV.ogg,9,NA,NA,2,without_precursor
a_dg10_CV.ogg,10,NA,NA,2,without_precursor
a_dg11_CV.ogg,11,NA,NA,2,without_precursor
a_dg12_CV.ogg,12,NA,NA,2,without_precursor
a_dg13_CV.ogg,13,NA,NA,2,without_precursor
a_dg14_CV.ogg,14,NA,NA,2,without_precursor
a_dg15_CV.ogg,15,NA,NA,2,without_precursor
a_dg16_CV.ogg,16,NA,NA,2,without_precursor
a_dg01_CV.ogg,1,NA,NA,2,practice_trial
a_dg02_CV.ogg,2,NA,NA,2,practice_trial
a_dg19_CV.ogg,19,NA,NA,2,practice_trial
a_dg20_CV.ogg,20,NA,NA,2,practice_trial
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg09_CV.ogg,9,NA,NA,3,without_precursor
a_dg10_CV.ogg,10,NA,NA,3,without_precursor
a_dg11_CV.ogg,11,NA,NA,3,without_precursor
a_dg12_CV.ogg,12,NA,NA,3,without_precursor
a_dg13_CV.ogg,13,NA,NA,3,without_precursor
a_dg14_CV.ogg,14,NA,NA,3,without_precursor
a_dg15_CV.ogg,15,NA,NA,3,without_precursor
a_dg16_CV.ogg,16,NA,NA,3,without_precursor
a_dg01_CV.ogg,1,NA,NA,3,practice_trial
a_dg02_CV.ogg,2,NA,NA,3,practice_trial
a_dg19_CV.ogg,19,NA,NA,3,practice_trial
a_dg20_CV.ogg,20,NA,NA,3,practice_trial
